Text;Size;Color;Angle;Font;Repeat;URL
Passion;8;Random;Random;Random;Yes;
Developer;8;Random;Random;Random;Yes;
C#;7;Random;Random;Random;Yes;
Java;7;Random;Random;Random;Yes;
Net;7;Random;Random;Random;Yes;
Javascript;7;Random;Random;Random;Yes;
Devops;6;Random;Random;Random;Yes;
Docker;6;Random;Random;Random;Yes;
Python;6;Random;Random;Random;Yes;
Cloud;6;Random;Random;Random;Yes;
Sql;6;Random;Random;Random;Yes;
Aws;5;Random;Random;Random;Yes;
Linq;5;Random;Random;Random;Yes;
Git;5;Random;Random;Random;Yes;
Node;4;Random;Random;Random;Yes;
Bash;4;Random;Random;Random;Yes;
Jquery;3;Random;Random;Random;Yes;
Npm;3;Random;Random;Random;Yes;
Windows;3;Random;Random;Random;Yes;
Linux;3;Random;Random;Random;Yes;
Hacker;3;Random;Random;Random;Yes;
Blazegraph;2;Random;Random;Random;Yes;
Sparql;2;Random;Random;Random;Yes;
Rdf;2;Random;Random;Random;Yes;
Mono.Net;2;Random;Random;Random;Yes;
Jira;2;Random;Random;Random;Yes;
Pipelines;2;Random;Random;Random;Yes;
Macos;2;Random;Random;Random;Yes;
Text;1;Random;Random;Random;Yes;URL
Bitbucket;1;Random;Random;Random;Yes;
Gitlab;1;Random;Random;Random;Yes;
Graph Database;1;Random;Random;Random;Yes;
Owl;1;Random;Random;Random;Yes;
Web Ontology;1;Random;Random;Random;Yes;
Lambda;1;Random;Random;Random;Yes;
GraphQL;1;Random;Random;Random;Yes;
Reactjs;1;Random;Random;Random;Yes;
Idea;1;Random;Random;Random;Yes;
Kotlin;1;Random;Random;Random;Yes;
Rdbms;1;Random;Random;Random;Yes;
Servicestack;1;Random;Random;Random;Yes;
Bltoolkit;1;Random;Random;Random;Yes;
Backbone;1;Random;Random;Random;Yes;
Bootstrap;1;Random;Random;Random;Yes;
Magento;1;Random;Random;Random;Yes;
Tradevine;1;Random;Random;Random;Yes;
Vagrant;1;Random;Random;Random;Yes;
Nav;1;Random;Random;Random;Yes;
Asp;1;Random;Random;Random;Yes;
Xero;1;Random;Random;Random;Yes;
Html;1;Random;Random;Random;Yes;
Css;1;Random;Random;Random;Yes;
Wcf;1;Random;Random;Random;Yes;
Ssrs;1;Random;Random;Random;Yes;
Ssis;1;Random;Random;Random;Yes;
Ajax;1;Random;Random;Random;Yes;
Xml;1;Random;Random;Random;Yes;
Xslt;1;Random;Random;Random;Yes;
Svn;1;Random;Random;Random;Yes;
Vss;1;Random;Random;Random;Yes;
Sharepoint;1;Random;Random;Random;Yes;
Visual Studio;1;Random;Random;Random;Yes;
Telerik;1;Random;Random;Random;Yes;
Infragistics;1;Random;Random;Random;Yes;
Batch;1;Random;Random;Random;Yes;
Script;1;Random;Random;Random;Yes;
Oracle;1;Random;Random;Random;Yes;
